command started at 2026-03-09 04:32:43+00:00, finished at 2026-03-09 04:32:53+00:00 with exitcode=0
LAST SEEN   TYPE      REASON      OBJECT                                     MESSAGE
33m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-224lb   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-224lb to aks-heavy-22317745-vmss000002
33m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-224lb   Pulling image "ghcr.io/actions/actions-runner:latest"
33m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-224lb   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 72ms (72ms including waiting). Image size: 540108575 bytes.
33m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-228g8   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-228g8 to aks-heavy-22317745-vmss000002
33m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-228g8   Pulling image "ghcr.io/actions/actions-runner:latest"
33m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-228g8   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 70ms (70ms including waiting). Image size: 540108575 bytes.
23m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-22k26   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-22k26 to aks-heavy-22317745-vmss000002
23m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-22k26   Pulling image "ghcr.io/actions/actions-runner:latest"
23m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-22k26   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 81ms (81ms including waiting). Image size: 540108575 bytes.
23m         Normal    Started     pod/arc-heavy-runners-mlqbj-runner-22k26   Started container runner
37m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-22nwz   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-22nwz to aks-heavy-22317745-vmss000002
37m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-22nwz   Pulling image "ghcr.io/actions/actions-runner:latest"
37m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-22nwz   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 99ms (99ms including waiting). Image size: 540108575 bytes.
