command started at 2026-03-09 04:25:13+00:00, finished at 2026-03-09 04:25:14+00:00 with exitcode=0
LAST SEEN   TYPE      REASON        OBJECT                                      MESSAGE
60m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
60m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
60m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
60m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
60m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
60m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
60m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
60m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
60m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
60m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
60m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
60m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
60m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
60m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
60m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
60m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
59m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
59m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
59m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
59m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
59m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
59m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
59m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
59m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
59m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
59m         Warning   FailedMount   pod/arc-general-runners-77675f8b-listener   MountVolume.SetUp failed for volume "listener-config" : failed to sync secret cache: timed out waiting for the condition
59m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
59m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
59m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
59m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
59m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
59m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
59m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
59m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
59m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
59m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
59m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
59m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
59m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
59m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
59m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
59m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
59m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
59m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
59m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
59m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
59m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
59m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
59m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
59m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
59m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
59m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
59m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
59m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
59m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
59m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
59m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
59m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
59m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
59m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
59m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
59m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
59m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
59m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
59m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
58m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
58m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
58m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
58m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
58m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
58m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
58m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
58m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
58m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
58m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
58m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
58m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
58m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
58m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
58m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
58m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
58m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
58m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
58m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
58m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
58m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
58m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
58m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
58m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
58m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
58m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
58m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
58m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
58m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
58m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
58m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
58m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
58m         Normal    Scheduled     pod/arc-general-runners-77675f8b-listener   Successfully assigned arc-system/arc-general-runners-77675f8b-listener to aks-general-34717483-vmss000000
58m         Normal    Pulled        pod/arc-general-runners-77675f8b-listener   Container image "ghcr.io/actions/gha-runner-scale-set-controller:0.13.1" already present on machine
58m         Normal    Created       pod/arc-general-runners-77675f8b-listener   Created container: listener
58m         Normal    Started       pod/arc-general-runners-77675f8b-listener   Started container listener
