command started at 2026-03-09 02:22:43+00:00, finished at 2026-03-09 02:22:43+00:00 with exitcode=0
NAME                                     READY   STATUS              RESTARTS   AGE
arc-general-runners-4lwl4-runner-47nd2   0/1     Completed           0          3s
arc-general-runners-4lwl4-runner-7nn4f   0/1     Completed           0          3s
arc-general-runners-4lwl4-runner-bcc5c   0/1     Completed           0          4s
arc-general-runners-4lwl4-runner-dw5n9   0/1     Completed           0          3s
arc-general-runners-4lwl4-runner-h5zb7   0/1     Completed           0          4s
arc-general-runners-4lwl4-runner-klwwx   0/1     Completed           0          1s
arc-general-runners-4lwl4-runner-m7fc7   0/1     Completed           0          2s
arc-general-runners-4lwl4-runner-pxkkb   0/1     ContainerCreating   0          1s
arc-general-runners-4lwl4-runner-tbr6p   0/1     ContainerCreating   0          0s
arc-general-runners-4lwl4-runner-thqtz   0/1     Terminating         0          2s
arc-heavy-runners-mlqbj-runner-hrrf2     0/1     Completed           0          4s
arc-heavy-runners-mlqbj-runner-jlf7f     0/1     Completed           0          4s
arc-heavy-runners-mlqbj-runner-nh87s     0/1     Completed           0          2s
arc-heavy-runners-mlqbj-runner-qw2x5     0/1     Completed           0          5s
arc-heavy-runners-mlqbj-runner-zmp2d     0/1     Completed           0          1s

